Company,Ticker,Price
1-800-Flowers,FLWS,8.88
Harry and David,FLWS,8.88
Abercrombie and Fitch,ANF,71.49
Activision Blizzard Inc.,ATVI,93.89
Activision,ATVI,93.89
Blizzard,ATVI,93.89
Adidas,ADDDF,193.82
Alphabet Inc.,GOOG,135.4
Google,GOOG,135.4
Whole Foods,AMZN,144.63
Amazon,AMZN,144.63
American Eagle Outfitters,AEO,19.73
Apple Inc.,AAPL,188.28
